gene_ID,9239-ZC-0007_S1_control,9239-ZC-0008_S1_control,9239-ZC-0009_S1_control,9239-ZC-0010_S1_KCTie2,9239-ZC-0011_S1_KCTie2,9239-ZC-0012_S1_KCTie2
ENSMUSG00000106048,28.3641,53.6826,46.0014,23.3159,46.6805,30.8481
ENSMUSG00000106061,17.8589,28.906,25.7066,26.6467,23.3402,22.6824
ENSMUSG00000106062,31.5157,34.6872,31.1186,24.4261,27.5081,10.8876
ENSMUSG00000106067,120.752,99.3991,84.0146,89.1418,72.497,85.8393
ENSMUSG00000106073,39.9198,32.2096,18.9417,29.9775,19.1723,38.1065
ENSMUSG00000106078,59.8798,35.5131,55.4722,57.7345,64.1857,63.5108
ENSMUSG00000106087,196.448,123.883,156.946,129.903,95.0282,111.598
ENSMUSG00000106092,23.1115,33.8613,18.9417,38.8598,23.3402,19.9605
ENSMUSG00000106099,246.873,299.797,316.598,213.174,269.246,281.262
ENSMUSG00000106107,89.2944,221.337,93.3557,144.336,133.373,226.824
ENSMUSG00000106110,228.433,265.424,303.525,214.643,188.506,226.919
ENSMUSG00000106115,27.3136,33.0354,40.5894,17.7645,12.5037,34.4773
ENSMUSG00000106120,1726.67,1942.64,1886.78,1632.39,2083.6,2027.78
ENSMUSG00000106121,17.8589,47.0755,31.1186,35.5289,25.841,23.5897
ENSMUSG00000106133,195.155,170.86,177.924,183.427,178.59,144.378
ENSMUSG00000106147,77.2561,42.7916,52.011,61.2382,53.8715,54.5917
ENSMUSG00000106149,71.4355,91.6734,106.885,96.5943,90.0267,97.0808
ENSMUSG00000106153,19.9599,33.0354,20.2947,43.3009,20.0059,21.7751
ENSMUSG00000106166,75.6376,85.8922,82.5318,68.8373,83.358,88.9151
ENSMUSG00000106180,32.5662,21.473,25.7066,15.5439,7.50222,21.7751
ENSMUSG00000106181,176.592,153.586,148.888,119.91,145.833,137.11
ENSMUSG00000106184,31.5157,39.6425,35.1775,36.6392,37.5111,39.9211
ENSMUSG00000106190,65.3056,62.9048,47.8348,85.0755,59.891,56.6719
ENSMUSG00000106197,32.5662,38.8166,31.1186,32.1981,45.0133,47.1794
ENSMUSG00000106204,70.385,47.9014,77.1199,78.8298,68.3536,64.4181
ENSMUSG00000106205,98.7491,109.017,93.3557,67.727,95.8617,75.3057
ENSMUSG00000106206,27.3136,41.2943,44.6484,18.8747,23.3402,23.5897
ENSMUSG00000106211,39.9198,68.5485,41.9424,62.1756,56.6835,56.2524
ENSMUSG00000106214,89.2944,75.1556,83.8848,64.3962,105.031,61.6962
ENSMUSG00000106218,65.8145,47.7233,28.5875,23.2123,47.7283,44.4683
