gene_ID,9239-ZC-0007_S1_control,9239-ZC-0008_S1_control,9239-ZC-0009_S1_control,9239-ZC-0010_S1_KCTie2,9239-ZC-0011_S1_KCTie2,9239-ZC-0012_S1_KCTie2
ENSMUSG00000000001,1926.66,1851.64,1886.06,1824.19,1837.21,1998.78
ENSMUSG00000000028,22.061,28.0801,28.4126,45.5214,37.5111,29.0335
ENSMUSG00000000049,67.2334,59.4638,102.827,76.6092,19.1723,77.1202
ENSMUSG00000000056,1201.8,1010.06,1283.98,1223.53,1202.86,1096.02
ENSMUSG00000000058,776.335,646.668,596.665,715.02,802.739,746.707
ENSMUSG00000000078,764.78,825.887,589.9,971.493,1134.5,851.95
ENSMUSG00000000085,526.312,654.101,560.135,529.603,567.668,562.524
ENSMUSG00000000088,3221.76,2943.96,3278.06,3427.26,3827.62,3603.71
ENSMUSG00000000093,1579.99,1619.56,1584.34,1687.62,1798.87,1550.57
ENSMUSG00000000120,36.7683,53.6826,25.7066,41.0803,45.0133,32.6627
ENSMUSG00000000126,33.6167,62.7673,40.5894,52.1831,30.0089,48.0867
ENSMUSG00000000127,312.005,263.457,262.478,301.996,280.917,289.427
ENSMUSG00000000131,1355.17,1367.66,1435.51,1493.32,1422.92,1436.25
ENSMUSG00000000134,595.646,627.674,713.022,691.703,712.711,685.01
ENSMUSG00000000142,131.315,156.918,87.9437,119.91,65.8529,92.5443
ENSMUSG00000000148,407.603,430.286,476.249,441.89,330.931,353.846
ENSMUSG00000000149,3871.63,3841.16,4064.95,3896.96,3832.72,3811.21
ENSMUSG00000000154,7303.23,7224.75,7949.97,5654.75,5685.76,6260.33
ENSMUSG00000000157,315.157,381.559,336.892,381.936,309.258,281.262
ENSMUSG00000000159,1099.72,1110.88,1065.34,1176.34,1217.59,1110.23
ENSMUSG00000000167,44.1219,39.6425,46.0014,61.0653,64.1857,65.3254
ENSMUSG00000000168,2735.56,2418.18,2751.95,2599.17,2730.79,2692.87
ENSMUSG00000000171,3687.33,3320.06,3807.29,3393.01,3729.44,3577.47
ENSMUSG00000000184,584.09,715.217,561.487,682.821,573.503,506.272
ENSMUSG00000000194,1643.01,1438.69,1458.51,1538.85,1535.34,1370.02
ENSMUSG00000000197,8.40418,37.1649,23.0007,4.44112,5.00148,23.5897
ENSMUSG00000000216,846.721,868.832,970.087,1234.63,1487.94,1028.87
ENSMUSG00000000244,16.8084,28.906,25.7066,19.985,20.8395,27.9353
ENSMUSG00000000253,835.642,992.869,1050.85,1056.9,1050.62,1012.27
ENSMUSG00000000266,850.927,747.431,857.793,675.048,676.865,802.962
ENSMUSG00000000275,2510.79,2305.81,2753.34,2366,2339.9,2251.89
ENSMUSG00000000276,241.62,254.373,262.478,279.79,250.908,297.594
ENSMUSG00000000278,2571.68,2270.36,2429.95,2540.32,2917.53,2763.63
ENSMUSG00000000282,984.338,806.063,943.028,1030.34,915.272,691.36
ENSMUSG00000000290,65.1323,96.6288,64.9431,97.7046,94.1947,58.9743
ENSMUSG00000000295,106.103,78.4592,89.2968,107.697,95.0281,82.564
ENSMUSG00000000296,148.123,173.436,173.182,242.041,195.891,214.122
ENSMUSG00000000303,5372.43,5881.73,5183.16,5813.45,5551.81,5548.9
ENSMUSG00000000305,60.9303,53.6826,43.2954,82.1606,58.3506,46.2721
ENSMUSG00000000308,887.689,875.435,845.617,1191.33,1341.22,1016.17
ENSMUSG00000000317,182.791,167.655,170.476,118.8,130.872,100.71
ENSMUSG00000000320,71.4355,94.151,55.4722,88.8223,129.205,89.8224
ENSMUSG00000000326,3389.35,3657.15,3811.08,4087.86,4492.13,4243.06
ENSMUSG00000000339,286.793,262.632,259.772,295.334,315.927,271.282
ENSMUSG00000000340,2309.05,2117.57,2278.42,1772.01,1878.06,2123.08
ENSMUSG00000000346,3590.39,3805.49,3909.96,3509.58,3999.48,3730.58
ENSMUSG00000000355,300.449,323.747,270.596,209.843,265.912,316.647
ENSMUSG00000000359,111.355,184.172,124.474,170.983,105.865,156.962
ENSMUSG00000000374,2326.91,2181.17,2308.19,2283.85,2349.03,2349.9
ENSMUSG00000000378,314.106,297.319,281.42,319.761,265.912,287.613
ENSMUSG00000000384,846.717,828.363,814.493,807.174,1006.13,828.36
ENSMUSG00000000385,3909,4140.17,3638.16,4286.76,4365.47,4125.43
ENSMUSG00000000399,2772.34,2419.87,2685.66,2465.94,2705.83,2634.83
ENSMUSG00000000402,320.409,355.957,419.424,498.515,559.332,335.7
ENSMUSG00000000409,10.5052,28.0801,8.11789,13.3233,18.3388,14.5168
ENSMUSG00000000416,525.217,665.029,528.629,672.368,824.949,542.374
ENSMUSG00000000420,3284.98,3116.89,3734.27,2553.69,2852.52,3146.56
ENSMUSG00000000439,718.877,856.628,781.822,771.977,738.012,735.572
ENSMUSG00000000440,91.3954,50.3791,52.7663,63.2859,30.0089,32.6627
ENSMUSG00000000441,1757.68,1683.4,1847.74,1828.61,1926.42,1899.53
ENSMUSG00000000486,74.5871,57.812,75.7669,62.1756,82.5244,69.8619
ENSMUSG00000000489,646.07,684.659,570.958,831.599,731.049,508.995
ENSMUSG00000000530,371.886,406.336,313.892,481.861,394.283,391.046
ENSMUSG00000000531,77.7386,107.365,128.533,122.131,79.1901,137.002
ENSMUSG00000000532,1493.84,1490.72,1283.98,1321.23,1492.94,1377.28
ENSMUSG00000000538,3604.42,3601.7,3873.55,4076.74,4172,3871.44
ENSMUSG00000000552,94.547,104.062,106.886,173.204,127.538,91.637
ENSMUSG00000000555,213.256,183.346,132.592,213.173,226.734,187.81
ENSMUSG00000000561,489.624,557.417,534.756,493.25,521.043,512.877
ENSMUSG00000000563,5177.37,4300.94,5080.27,4704.56,5151.03,5313.62
ENSMUSG00000000567,24.162,19.8213,20.2947,38.8598,35.844,20.8678
ENSMUSG00000000568,909.179,880.636,903.263,827.735,963.315,892.044
ENSMUSG00000000579,156.799,154.208,175.159,175.485,142.075,173.366
ENSMUSG00000000581,479.038,453.411,504.662,380.826,399.285,460.906
ENSMUSG00000000594,7234.95,6433.65,7261.45,7649.82,8631.72,8366.19
ENSMUSG00000000600,1363.58,1414.74,1279.92,1201.32,1206.51,1322.84
ENSMUSG00000000605,2364.66,2057.85,2381.44,2053.28,2107.31,2171.25
ENSMUSG00000000628,128.164,31.3837,18.9417,131.013,20.0059,29.9408
ENSMUSG00000000631,7041.66,7812.95,7603.72,8284.92,8077.44,7487.84
ENSMUSG00000000673,2086.34,1973.04,2401.54,1437.82,1462.1,1792.81
ENSMUSG00000000682,49.3745,61.9415,46.0014,49.9625,82.5244,54.4378
ENSMUSG00000000686,141.459,118.715,75.6405,89.3505,82.6261,127.924
ENSMUSG00000000690,714.355,775.506,752.256,770.533,799.404,702.246
ENSMUSG00000000693,98.2693,102.73,68.9749,99.5147,84.237,69.3301
ENSMUSG00000000708,1736.16,1646.68,1907.74,1419.91,1667.24,1659.55
ENSMUSG00000000711,2842.89,3018.19,3125.76,2829.72,3047.87,3217.92
ENSMUSG00000000732,205.902,248.592,182.652,299.775,221.732,201.42
ENSMUSG00000000738,1504.35,1639.39,1576.22,1621,1609.65,1585.04
ENSMUSG00000000739,27.3136,27.2542,12.1768,16.6542,13.3373,26.3116
ENSMUSG00000000740,646.604,640.266,613.142,642.002,667.965,639.258
ENSMUSG00000000743,1469.68,1480.82,1488.28,1364.53,1559.64,1412.66
ENSMUSG00000000751,811.005,833.317,894.318,762.762,776.893,844.692
ENSMUSG00000000753,55.6777,50.3791,32.4715,42.1906,20.8395,27.2189
ENSMUSG00000000759,776.335,853.965,837.495,886.003,791.068,756.685
ENSMUSG00000000776,253.176,261.806,244.89,250.923,322.596,304.852
ENSMUSG00000000782,45.1724,27.2542,39.2364,48.8523,24.1738,37.1992
ENSMUSG00000000787,5036.98,4416.85,4958.18,4785.14,5143.07,4698.01
ENSMUSG00000000794,89.2944,98.2805,93.3557,127.682,79.1901,92.5443
ENSMUSG00000000804,2220.79,2126.64,2121.47,2126.19,2098.96,2143.03
ENSMUSG00000000805,2621.05,2743.65,2839.91,1923.02,2247.33,2221.97
ENSMUSG00000000811,440.167,509.574,439.719,340.855,400.952,386.508
ENSMUSG00000000823,1461.29,1615.44,1518.04,1451.14,1557.12,1455.31
ENSMUSG00000000826,2622.13,2598.21,2582.82,2794.55,2781.64,2763.61
ENSMUSG00000000827,808.903,697.873,761.729,754.99,789.401,795.698
ENSMUSG00000000838,912.901,867.179,924.088,822.715,899.433,947.214
ENSMUSG00000000876,2467.68,2219.98,2677.55,2036.25,2168.14,2258.26
ENSMUSG00000000881,483.242,428.637,412.659,467.427,441.796,491.754
ENSMUSG00000000884,35.7177,64.4191,56.8252,68.1114,65.9602,40.8284
ENSMUSG00000000901,126.102,156.185,154.276,118.815,108.387,73.514
ENSMUSG00000000902,735.365,868.831,838.848,866.019,901.098,837.435
ENSMUSG00000000915,1293.39,1427.26,1378.06,1694.52,1771.66,1601.88
ENSMUSG00000000916,231.222,206.828,222.592,221.803,216.888,233.393
ENSMUSG00000000934,513.705,504.617,500.603,589.558,550.163,455.463
ENSMUSG00000000938,713.304,690.439,661.607,596.219,648.526,639.643
ENSMUSG00000000942,76.4102,75.7829,85.8392,70.61,60.7513,62.6067
ENSMUSG00000000948,89.514,78.6232,83.5759,67.2031,56.395,77.5131
ENSMUSG00000000957,175.437,225.467,151.534,227.607,152.545,177.83
ENSMUSG00000000958,2697.4,2533.89,2620.79,3120.75,3686.12,2718.69
ENSMUSG00000000959,1071.92,1017.41,1124.27,1140.52,1171.1,1143.69
ENSMUSG00000000976,405.502,483.143,495.191,477.419,490.145,504.457
ENSMUSG00000001016,538.528,557.373,507.523,537.098,548.308,485.83
ENSMUSG00000001017,1367.78,1208.2,1347.57,1079.19,1260.38,1231.21
ENSMUSG00000001018,399.588,427.909,465.271,411.08,415.311,421.467
ENSMUSG00000001020,19.9599,14.866,17.5888,43.3009,25.841,37.1992
ENSMUSG00000001025,297.298,504.617,108.238,590.666,166.716,362.012
ENSMUSG00000001029,101.901,101.584,108.238,89.9326,141.709,102.525
ENSMUSG00000001034,231.115,246.114,197.535,311.988,210.896,220.473
ENSMUSG00000001036,846.725,796.978,794.2,928.194,833.577,782.089
ENSMUSG00000001039,101.901,113.972,121.768,123.241,133.373,142.446
ENSMUSG00000001052,1145.07,1195.06,1187.92,1277.93,1257.04,1171.32
ENSMUSG00000001053,330.914,287.408,285.479,338.635,374.278,271.282
ENSMUSG00000001054,477.987,555.824,512.779,481.86,576.004,473.611
ENSMUSG00000001056,505.303,455.065,604.784,425.236,494.313,491.756
ENSMUSG00000001062,637.667,659.057,694.079,619.536,633.522,629.664
ENSMUSG00000001065,681.373,765.89,689.812,678.532,719.772,713.783
ENSMUSG00000001082,164.932,165.177,170.476,218.725,188.389,139.724
ENSMUSG00000001089,1942.44,2008.54,1780.53,2150.6,2080.62,2013.31
ENSMUSG00000001095,1225.81,703.85,1122.77,704.184,799.376,828.812
ENSMUSG00000001098,760.293,892.82,859.859,886.849,781.116,795.6
ENSMUSG00000001100,1805.86,1811.18,2007.81,1804.19,1907.23,1913.48
ENSMUSG00000001105,503.2,495.532,512.78,531.824,530.157,497.199
ENSMUSG00000001119,423.36,492.228,373.423,636.19,545.995,479.053
ENSMUSG00000001120,339.319,346.872,435.659,369.723,322.595,361.105
ENSMUSG00000001123,144.972,127.187,127.18,166.542,170.05,153.333
ENSMUSG00000001127,1545.32,1602.22,1551.87,1636.55,1670.5,1455.3
ENSMUSG00000001128,52.5261,50.3791,37.8835,57.7345,52.5156,29.9408
ENSMUSG00000001134,97.7006,99.434,85.2378,93.2634,90.5331,78.7442
ENSMUSG00000001138,912.901,877.921,974.145,974.825,961.112,795.697
ENSMUSG00000001143,1152.42,1086.04,1185.21,983.711,1037.8,1115.07
ENSMUSG00000001150,1127.21,1125.15,1040.44,1004.04,1168.43,1183.86
ENSMUSG00000001151,1610.42,1563.38,1603.28,1771.99,1741.33,1565
ENSMUSG00000001155,426.512,393.122,374.776,384.156,334.266,457.278
ENSMUSG00000001156,495.846,505.442,512.78,480.751,447.633,454.556
ENSMUSG00000001157,546.271,494.705,480.308,549.588,460.97,527.14
ENSMUSG00000001158,266.833,312.185,316.597,318.65,263.411,264.931
ENSMUSG00000001166,58.8292,48.7273,55.4722,65.5064,60.0178,45.3649
ENSMUSG00000001173,562.029,601.245,562.84,655.064,591.01,586.116
ENSMUSG00000001175,4169.54,3894.91,4098.12,4351.31,4407.99,4315.08
ENSMUSG00000001211,8760.11,8482.6,9508.88,7771.96,8589.98,8310.82
ENSMUSG00000001227,108.204,104.062,93.3557,104.366,105.865,117.041
ENSMUSG00000001228,43.0714,38.8167,35.1775,89.9326,76.6894,49.6795
ENSMUSG00000001229,1171.33,1103.39,1136.5,1211.31,1093.65,1096.01
ENSMUSG00000001240,224.718,168.632,163.74,232.07,164.236,172.014
ENSMUSG00000001247,581.961,710.69,590.238,755.375,690.73,751.989
ENSMUSG00000001248,558.666,584.726,533.839,660.409,598.459,550.731
ENSMUSG00000001249,5490.05,5419.31,6214.22,5010.71,5620.04,5454.66
ENSMUSG00000001270,1539.83,1913.77,2002.49,2191.93,2610.99,1852.77
ENSMUSG00000001280,2638.9,2665.18,2697.86,2376.02,2437.39,2582.18
ENSMUSG00000001281,33.6167,35.5131,24.3537,33.3084,17.5052,25.4043
ENSMUSG00000001285,370.268,470.587,464.611,376.178,388.601,400.269
ENSMUSG00000001288,349.824,438.545,408.6,439.67,366.775,341.144
ENSMUSG00000001289,1213.33,1196,1309.22,1312.09,1281.14,1273.19
ENSMUSG00000001300,696.496,753.209,534.427,767.204,755.224,613.333
ENSMUSG00000001305,131.315,137.097,115.003,147.667,145.043,124.3
ENSMUSG00000001313,104.405,135.449,89.4939,159.074,212.87,125.315
ENSMUSG00000001323,2900.68,2745.73,3107.96,2159.28,2538.04,2638.58
ENSMUSG00000001333,22.1672,23.1948,27.3192,32.4667,33.5121,32.7788
ENSMUSG00000001334,34.6672,43.772,55.4722,34.4186,44.1798,43.5503
ENSMUSG00000001348,866.688,801.829,861.852,772.748,641.018,801.137
ENSMUSG00000001349,66.1829,65.245,23.0007,41.0803,10.8365,14.5168
ENSMUSG00000001366,960.176,877.091,994.441,868.238,941.109,804.775
ENSMUSG00000001376,757.427,643.365,761.728,600.661,681.868,727.653
ENSMUSG00000001380,553.397,535.532,583.045,506.1,512.86,494.864
ENSMUSG00000001383,771.081,657.406,619.665,641.742,656.861,689.545
ENSMUSG00000001415,1319.46,1505.59,1263.68,1634.33,1627.15,1493.41
ENSMUSG00000001416,1844.71,1710.4,1822.46,1391.19,1557.13,1711.99
ENSMUSG00000001418,2633.25,2303.46,2514.4,2321.52,2435.84,2410.94
ENSMUSG00000001419,1638.58,1630.75,1664.56,1790.6,1606.14,1459.98
ENSMUSG00000001420,70.7942,81.6946,48.1552,93.3377,59.0704,47.837
ENSMUSG00000001424,2101.03,1935.89,2247.29,1844.17,1972.26,1920.76
ENSMUSG00000001435,3869.08,4400.33,3420.3,5036.13,5491.58,4578.12
ENSMUSG00000001436,1747.02,1921.85,1909.06,1775.34,1958.08,1913.49
ENSMUSG00000001440,3315.45,3287.85,2977.91,3330.84,3551.05,3412.35
ENSMUSG00000001441,1815.3,1554.32,1612.75,1561.05,1578.8,1664.89
ENSMUSG00000001445,1213.31,1083.47,1200.06,963.508,1044.39,1151.36
ENSMUSG00000001467,5012.65,4312.37,4851.23,4245.7,5301.82,5420.15
ENSMUSG00000001472,3971.01,4115.45,4094.13,4042.52,3926.15,3966.71
ENSMUSG00000001473,173.336,153.615,175.888,202.071,201.726,148.797
ENSMUSG00000001482,3489.87,3264.79,3874.91,2811.27,2892.56,3188.27
ENSMUSG00000001493,84.0418,107.365,82.5318,109.918,57.517,89.8224
ENSMUSG00000001497,68.3128,82.5886,58.1782,47.742,41.679,52.8111
ENSMUSG00000001504,346.672,423.679,450.542,484.082,490.979,496.292
ENSMUSG00000001506,1109.35,1128.16,595.312,1205.76,892.765,769.388
ENSMUSG00000001507,1456.03,1685.64,1173.04,1905.23,1497.95,1506.12
ENSMUSG00000001517,35.7178,36.339,29.7656,62.1756,61.6849,33.57
ENSMUSG00000001518,286.793,289.06,359.893,335.304,330.098,308.481
ENSMUSG00000001520,109.254,136.271,100.121,141.005,115.868,118.856
ENSMUSG00000001521,1314.2,1411.44,1551.87,1155.8,1322.06,1284.73
ENSMUSG00000001524,163.881,158.57,146.122,159.88,143.376,156.962
ENSMUSG00000001525,1235.41,1262.78,1097.27,1544.4,1318.73,1206.71
ENSMUSG00000001542,1196.55,956.377,1068.85,1004.8,987.79,1118.7
ENSMUSG00000001552,3447.85,3664.51,3680.16,3911.45,3690.4,3425.89
ENSMUSG00000001555,64.0819,117.163,54.1192,124.351,99.9363,86.1932
ENSMUSG00000001569,624.01,612.807,749.551,666.167,701.041,651.439
ENSMUSG00000001576,2073.72,2227.44,2233.75,1863.06,1806.35,1891.7
ENSMUSG00000001583,159.517,208.528,132.478,185.811,130.33,125.848
ENSMUSG00000001588,51.4756,50.3791,21.6477,47.742,30.0089,36.2919
ENSMUSG00000001604,758.477,763.122,836.144,545.147,558.499,715.859
ENSMUSG00000001627,305.82,332.847,262.177,326.137,258.476,366.547
ENSMUSG00000001630,460.446,499.87,431.949,515.161,525.528,545.075
ENSMUSG00000001632,782.132,754.714,754.963,897.103,844.398,818.338
ENSMUSG00000001642,1090.5,1600.76,707.782,2520.07,389.687,1435.84
ENSMUSG00000001656,10.5052,22.2989,6.7649,4.44112,17.5052,34.4773
ENSMUSG00000001657,148.123,165.177,135.298,162.101,164.215,110.69
ENSMUSG00000001661,348.773,375.778,309.833,360.841,314.26,297.593
ENSMUSG00000001663,1332.06,1351.97,1283.98,1316.79,1448.76,1219.41
ENSMUSG00000001665,1029.51,1093.47,1045.85,1083.63,1099.82,1075.15
ENSMUSG00000001666,1959.21,1835.95,2103.88,1648.77,1601.2,1679.41
ENSMUSG00000001672,385.541,374.952,327.421,465.207,455.135,406.469
ENSMUSG00000001674,350.925,344.051,308.459,355.944,335.01,364.013
ENSMUSG00000001687,2561.2,2288.52,2397.51,2409.31,2422.36,2593.98
ENSMUSG00000001700,600.898,621.066,561.487,541.816,558.499,566.153
ENSMUSG00000001707,163.881,166.003,173.182,195.409,167.55,198.698
ENSMUSG00000001729,1416.1,1513.03,1503.16,1784.22,1739.69,1720.23
ENSMUSG00000001739,248.974,254.373,225.948,355.289,232.569,243.156
ENSMUSG00000001741,130.273,169.778,143.763,177.244,110.815,154.976
ENSMUSG00000001750,393.945,520.308,497.897,474.089,556.832,516.252
ENSMUSG00000001751,817.306,792.025,975.5,757.21,808.573,761.223
ENSMUSG00000001755,3346.88,3156.55,4033.19,2504.77,2464.09,2855.24
ENSMUSG00000001761,1962.37,1900.37,1990.24,1581.04,1663.82,1693.93
ENSMUSG00000001763,919.205,933.257,940.326,1025.9,1111.16,1092.38
ENSMUSG00000001767,364.531,409.64,315.244,324.201,324.263,372.899
ENSMUSG00000001768,1677.69,1679.03,1867.13,1601.02,1647.15,1697.56
ENSMUSG00000001773,2187.2,1848.35,1779.18,1889.72,2348.19,2443.34
ENSMUSG00000001774,1084.14,1048.05,898.379,764.982,885.261,1109.62
ENSMUSG00000001783,1579.99,1602.22,1607.34,1432.26,1614.64,1547.85
ENSMUSG00000001785,235.317,258.502,254.361,215.394,218.398,251.322
ENSMUSG00000001786,1989.91,1803.03,2009.6,1433.37,1426.01,1866.2
ENSMUSG00000001794,2971.94,2817.09,2948.13,2961.11,3056.68,2932.44
ENSMUSG00000001802,553.624,502.139,492.485,510.729,476.807,452.741
ENSMUSG00000001827,5764.27,5500.43,6042.39,4941.84,5216.59,5522.68
ENSMUSG00000001829,1233.31,1128.16,1250.16,1175.78,1325.39,1317.39
ENSMUSG00000001833,1075.73,1016.88,1099.98,1013.68,1054.48,1056.38
ENSMUSG00000001844,357.178,418.724,389.658,421.907,420.958,449.112
ENSMUSG00000001847,3294.71,3213.13,3399.79,3071.15,3188.96,3263
ENSMUSG00000001855,1309.68,1431.86,1309.45,1538,1454.6,1436.09
ENSMUSG00000001864,3909.01,3900.69,3570.52,5247.17,5812.61,4726.12
ENSMUSG00000001870,819.409,980.328,795.554,945.957,719.379,779.369
ENSMUSG00000001891,2294.34,1906.97,2087.65,1523.3,1722.18,1961.57
ENSMUSG00000001909,650.274,633.455,713.021,690.593,632.687,651.44
ENSMUSG00000001910,2434.43,2549.86,2569.84,2531.67,2798.73,2654.34
ENSMUSG00000001911,1414,1529.39,1542.4,1600.66,1421.97,1403.42
ENSMUSG00000001918,1165.03,908.474,857.789,1163.57,945.282,969.902
ENSMUSG00000001924,5097.22,5121.32,4865.43,4784.17,5019.59,5078.91
ENSMUSG00000001930,242.671,281.627,146.122,347.517,188.389,234.083
ENSMUSG00000001942,921.21,688.506,767.281,739.982,799.525,761.508
ENSMUSG00000001943,35.7178,76.8074,37.8835,55.5139,41.679,43.5503
ENSMUSG00000001946,556.777,619.415,553.369,613.984,632.687,650.532
ENSMUSG00000001948,54.6271,66.0709,81.1788,65.5064,93.361,78.0275
ENSMUSG00000001962,465.381,417.071,524.957,460.766,461.802,507.18
ENSMUSG00000001964,351.263,307.896,266.031,318.924,260.813,318.194
ENSMUSG00000001983,391.265,448.879,443.499,389.719,386.71,441.648
ENSMUSG00000001986,516.857,482.318,409.953,293.114,420.125,502.643
ENSMUSG00000001995,588.289,580.597,523.604,706.135,751.893,593.373
ENSMUSG00000001998,364.531,336.962,408.6,328.643,361.774,328.442
ENSMUSG00000001999,674.436,513.7,626.43,535.155,628.519,598.816
ENSMUSG00000002006,82.9913,105.617,105.533,116.273,74.7497,87.1005
ENSMUSG00000002007,34.6672,42.9461,44.6484,37.7495,41.679,53.5305
ENSMUSG00000002010,4065.57,3872.59,3943.91,3685.05,4054.61,3849.64
ENSMUSG00000002014,689.143,731.735,813.142,732.784,774.397,721.302
ENSMUSG00000002015,2101.04,1825.21,1964.53,1585.48,1700.5,1811.87
ENSMUSG00000002017,695.448,730.909,672.432,719.461,746.889,719.485
ENSMUSG00000002020,42.0209,24.7766,10.8238,28.8672,10.003,9.07297
ENSMUSG00000002028,3930.93,4202.6,3686.2,4385.18,3968.16,3975.45
ENSMUSG00000002031,482.189,464.148,510.074,446.332,527.657,422.801
ENSMUSG00000002032,1401.4,1274.34,1527.52,1101.4,1217.87,1174.04
ENSMUSG00000002043,227.963,228.77,213.771,210.953,259.243,170.572
ENSMUSG00000002052,2424.85,2585.5,2495.04,2612.39,2459.86,2551.52
ENSMUSG00000002055,56.7282,92.4993,77.1199,153.218,169.217,148.797
ENSMUSG00000002058,50.4251,72.678,47.3543,83.2709,90.8603,72.5837
ENSMUSG00000002059,805.751,708.61,830.731,849.363,791.069,752.151
ENSMUSG00000002064,542.871,580.092,618.15,486.394,504.355,637.61
ENSMUSG00000002076,102.951,118.928,129.886,94.3737,75.0223,94.3589
ENSMUSG00000002083,48.324,36.339,78.4729,75.4989,39.1783,32.6627
ENSMUSG00000002102,1782.74,1888.29,1907.7,1818.05,1940.56,1829.11
ENSMUSG00000002103,974.892,987.318,1039.61,903.337,875.742,971.181
ENSMUSG00000002104,56.7282,56.1603,48.7073,78.8298,60.8514,46.2721
ENSMUSG00000002105,615.605,641.412,623.724,847.728,827.747,743.078
ENSMUSG00000002107,280.489,258.502,262.478,309.768,314.26,273.096
ENSMUSG00000002108,798.398,797.807,845.612,713.909,726.883,788.443
ENSMUSG00000002109,144.969,179.661,145.603,154.756,127.058,158.401
ENSMUSG00000002111,16.8084,32.2096,36.5305,64.3962,64.1857,40.8284
ENSMUSG00000002129,942.317,967.114,1051.27,1013.69,1006.13,1091.48
ENSMUSG00000002147,1648.27,1651.77,1684.46,1556.61,1551.29,1618.62
ENSMUSG00000002204,28922.9,30198.5,30218.7,28686.8,32183.1,33379.5
ENSMUSG00000002205,765.831,739.168,780.67,742.777,845.25,803.864
ENSMUSG00000002210,242.67,298.145,301.715,308.658,333.432,248.599
ENSMUSG00000002221,585.141,664.013,821.259,689.483,749.39,672.307
ENSMUSG00000002222,3733.52,3438.97,3751.83,3410.72,3425.99,3678.18
ENSMUSG00000002227,763.729,688.748,622.372,537.375,463.407,560.711
ENSMUSG00000002228,40.9704,36.339,36.5305,28.8672,29.1753,27.2189
ENSMUSG00000002233,700.698,832.491,859.142,758.318,681.871,724.018
ENSMUSG00000002249,501.099,638.408,542.545,610.653,567.669,635.108
ENSMUSG00000002250,643.971,914.253,656.195,738.336,835.248,853.769
ENSMUSG00000002257,45.1294,72.1755,38.8656,77.976,79.089,48.994
ENSMUSG00000002265,1448.66,1312.33,1408.45,1480,1117.84,1429
ENSMUSG00000002266,168.084,66.8968,136.651,115.469,71.6879,83.4713
ENSMUSG00000002274,183.841,239.507,144.769,206.512,260.077,210.493
ENSMUSG00000002279,573.585,573.165,556.075,612.874,639.356,588.836
ENSMUSG00000002280,941.616,956.34,838.465,993.378,969.691,946.23
ENSMUSG00000002289,2256.53,1214.05,1334.03,1119.16,543.494,1504.29
ENSMUSG00000002297,61.9808,37.1649,70.355,73.2784,62.5185,51.7159
ENSMUSG00000002307,354.025,389.819,382.893,451.884,423.459,382.88
ENSMUSG00000002308,284.691,270.89,324.715,262.026,320.094,311.203
ENSMUSG00000002319,985.76,936.209,908.952,899.6,905.584,920.108
ENSMUSG00000002320,1851.01,1731.81,1919.9,1580.49,1604.68,1628.75
ENSMUSG00000002324,136.568,190.78,179.946,218.725,220.065,165.128
ENSMUSG00000002325,364.531,422.854,371.455,527.382,545.162,454.555
ENSMUSG00000002326,275.301,248.194,257.98,259.738,264.323,204.98
ENSMUSG00000002329,525.261,481.492,485.72,409.693,432.629,515.345
ENSMUSG00000002332,1554.78,1590.66,1699.33,1222.41,1347.08,1386.36
ENSMUSG00000002342,577.787,578.947,646.725,559.58,595.176,552.545
ENSMUSG00000002343,146.773,103.646,135.066,164.751,140.376,139.652
ENSMUSG00000002345,189.094,197.387,163.711,240.93,208.395,222.288
ENSMUSG00000002346,4243.02,2573.49,3309.35,2232.78,1883.88,2146.67
ENSMUSG00000002365,2075.83,1936.7,1945.59,1920.78,1801.37,1985.17
ENSMUSG00000002372,770.032,823.41,672.432,837.153,842.748,774.832
ENSMUSG00000002379,988.542,1059.61,1013.38,1185.78,1202.85,1180.39
ENSMUSG00000002393,1601.4,1807.62,1856.59,1741.78,1878.29,1911.67
ENSMUSG00000002395,507.402,512.049,432.954,556.25,502.649,497.199
ENSMUSG00000002396,871.526,956.621,906.195,819.629,781.664,910.023
ENSMUSG00000002409,566.233,482.319,691.373,521.832,599.342,587.018
ENSMUSG00000002413,2309.71,2223.28,2496.24,1957.02,1988.92,2282.77
ENSMUSG00000002416,969.984,897.737,967.382,943.026,1117,1036.13
ENSMUSG00000002428,791.045,679.659,742.788,633.969,631.853,733.096
ENSMUSG00000002455,1138.77,1112.46,1177.1,1209.09,1217.86,1133.2
ENSMUSG00000002458,75.6376,58.6379,46.0014,105.476,86.6924,70.7692
ENSMUSG00000002475,1346.76,1258.67,1371.94,882.672,957.778,1138.65
ENSMUSG00000002477,125.012,102.41,110.944,107.361,116.701,110.69
ENSMUSG00000002486,186.993,241.985,230.007,256.474,240.071,231.361
ENSMUSG00000002489,473.786,646.668,343.657,700.587,396.784,431.874
ENSMUSG00000002496,2653.24,2666.62,2585.19,2640.25,2925.44,2759.17
ENSMUSG00000002500,24.162,35.5131,50.0603,16.6542,24.1738,17.2386
ENSMUSG00000002504,913.957,785.416,794.2,883.78,719.383,766.668
ENSMUSG00000002524,1298.45,1235.52,1194.69,1246.85,1337.07,1370.01
ENSMUSG00000002546,1321.56,1469.25,1431.46,1478.9,1631.31,1301.98
